City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Edmundston,47.3737,-68.3251,51.13,83,56,8.66,CA,1631358598
Ramon Magsaysay,8.0019,123.5094,75.15,92,92,3.13,PH,1631358618
Az Zabadānī,33.7249,36.1005,81.21,32,0,10.36,SY,1631358619
Fortuna,40.5982,-124.1573,52.72,75,75,0.0,US,1631358620
Saint-Alban,43.7,1.4167,77.09,64,20,3.44,FR,1631358620
Újszász,47.3,20.0833,84.18,34,1,3.27,HU,1631358621
Linton Hall,38.7598,-77.575,58.41,92,1,0.0,US,1631358622
Ayvacık,39.6011,26.4047,77.52,30,0,6.73,TR,1631358623
Itajobi,-21.3181,-49.0544,74.7,46,91,8.57,BR,1631358623
Campomorone,44.5095,8.885,86.07,50,20,1.01,IT,1631358624
El Paisnal,13.9736,-89.2186,70.21,99,95,0.74,SV,1631358625
Kamwenge,0.1866,30.4539,74.03,57,80,2.84,UG,1631358626
Zubia,37.1191,-3.584,85.08,33,0,8.01,ES,1631358626
Piastów,52.1843,20.8395,77.05,47,0,9.22,PL,1631358627
Bastrop,32.7562,-91.8724,60.48,93,0,3.42,US,1631358628
Rafha,29.6343,43.5194,99.95,12,0,11.21,SA,1631358629
Heppenheim,49.6408,8.6372,73.72,78,75,7.0,DE,1631358630
Cape Canaveral,28.4058,-80.6048,75.45,94,1,3.44,US,1631358429
Crowley,30.2141,-92.3746,67.98,91,0,6.53,US,1631358631
Langueux,48.495,-2.7185,67.51,67,40,4.61,FR,1631358632
Silver Springs,29.1044,-82.0206,74.71,92,100,4.61,US,1631358632
North Tustin,33.7645,-117.7939,81.37,76,1,0.0,US,1631358633
Ishimbay,53.4545,56.0415,55.54,42,92,12.62,RU,1631358634
Trebisacce,39.8708,16.5312,69.53,92,100,0.78,IT,1631358635
Morelia,19.7008,-101.1844,54.54,95,100,3.83,MX,1631358446
Smithers,54.7804,-127.1743,46.72,100,90,2.3,CA,1631358636
Farroupilha,-29.225,-51.3478,52.47,89,21,2.15,BR,1631358637
Berlin,52.5244,13.4105,74.95,79,40,8.01,DE,1631358591
Longba,33.6248,105.2945,67.08,77,44,4.59,CN,1631358639
Appley Bridge,53.5778,-2.7209,69.06,69,100,7.0,GB,1631358639
Żurrieq,35.8311,14.4742,85.51,58,20,18.41,MT,1631358640
Tyumen,57.1522,65.5272,42.89,93,90,17.9,RU,1631358641
San Agustín Acasaguastlán,14.95,-89.9667,74.16,98,99,1.39,GT,1631358641
Cartago,4.7464,-75.9117,69.15,97,100,1.81,CO,1631358642
Giporlos,11.12,125.4494,81.41,82,100,4.45,PH,1631358643
Wilmington Manor,39.6868,-75.5844,58.68,83,1,0.0,US,1631358644
Kralupy nad Vltavou,50.2411,14.3115,78.69,82,20,5.75,CZ,1631358644
Siliguri,26.7,88.4333,93.29,59,40,2.3,IN,1631358645
Pollenza,43.266,13.3479,82.89,63,60,9.84,IT,1631358646
Kandern,47.7167,7.6667,74.5,71,75,1.01,DE,1631358647
Arden Hills,45.0502,-93.1566,66.36,88,1,1.99,US,1631358647
Hewlett,40.6432,-73.6957,64.35,74,20,3.44,US,1631358648
Topola,44.2542,20.6825,79.88,17,0,6.98,RS,1631358649
Simi Valley,34.2695,-118.7815,80.44,66,0,1.3,US,1631358650
San Juan,-31.5375,-68.5364,55.2,31,3,4.81,AR,1631358651
Boscoreale,40.7756,14.4994,85.64,54,100,1.39,IT,1631358651
Ambanja,-13.6833,48.45,86.4,48,13,10.2,MG,1631358652
Dnestrovsc,46.6222,29.9133,82.76,24,100,7.96,MD,1631358653
Urumita,10.5589,-73.0123,73.18,87,100,3.67,CO,1631358653
Puquio,-14.7,-74.1333,45.84,63,80,1.74,PE,1631358654
Ingeniero Guillermo N. Juárez,-23.9,-61.85,57.33,47,0,5.35,AR,1631358655
Haapajärvi,63.75,25.3333,56.44,96,100,3.62,FI,1631358656
Los Alcázares,37.7443,-0.8504,89.76,56,0,4.61,ES,1631358657
Bahía Blanca,-38.7196,-62.2724,50.63,82,37,8.25,AR,1631358657
Guapó,-16.8306,-49.5319,73.78,50,44,7.87,BR,1631358426
Hardenberg,52.5758,6.6194,67.93,87,100,5.01,NL,1631358489
Pinabacdao,11.614,124.9845,78.3,88,100,2.17,PH,1631358659
Lafia,8.4833,8.5167,84.79,70,92,3.96,NG,1631358491
Bury,53.6,-2.3,68.36,80,100,12.06,GB,1631358661
East Massapequa,40.6734,-73.4365,64.38,89,1,3.0,US,1631358638
Catherinas Lust,6.4,-57.6,79.52,85,32,7.72,GY,1631358662
Eccleston,53.45,-2.7833,68.52,76,20,3.0,GB,1631358399
Papillion,41.1544,-96.0422,70.43,94,1,3.0,US,1631358663
Brampton,43.6834,-79.7663,63.36,76,100,1.01,CA,1631358664
Rubio,7.7013,-72.3557,76.05,93,99,4.29,VE,1631358665
Rockville Centre,40.6587,-73.6412,64.31,76,20,3.44,US,1631358666
Sheffield Lake,41.4875,-82.1015,62.78,80,1,4.0,US,1631358667
Kratovo,42.0792,22.1814,75.79,24,52,6.6,MK,1631358667
Sremska Mitrovica,44.9764,19.6122,87.19,30,0,3.78,RS,1631358668
Kozani,40.3011,21.7864,77.99,31,20,5.75,GR,1631358545
Muro del Alcoy,38.7812,-0.4361,85.39,57,49,3.0,ES,1631358669
Senador Pompeu,-5.5881,-39.3717,81.45,56,33,6.31,BR,1631358670
Sopron,47.685,16.5905,78.06,32,10,4.0,HU,1631358671
Herne,51.55,7.2167,71.26,79,62,1.01,DE,1631358672
Lavumisa,-27.31,31.892,84.47,21,0,11.03,SZ,1631358672
Denkendorf,48.6955,9.3168,73.94,70,75,5.01,DE,1631358673
Ulricehamn,57.7916,13.4142,65.91,80,100,4.14,SE,1631358674
Homer,59.6425,-151.5483,51.8,83,1,3.44,US,1631358675
Rwamagana,-1.9487,30.4347,71.04,30,95,4.81,RW,1631358676
Marineo,37.95,13.4169,75.7,57,39,7.4,IT,1631358677
Collecorvino,42.4589,14.0152,83.03,61,20,8.05,IT,1631358677
Burlington,39.8835,-74.6413,61.72,100,1,0.0,US,1631358678
Fockbek,54.3,9.6,69.71,67,75,3.0,DE,1631358679
Kuriyama,43.0517,141.8152,66.09,94,49,8.81,JP,1631358680
San Luis,-33.295,-66.3356,56.19,46,56,13.51,AR,1631358680
Ciudad Choluteca,13.3003,-87.1908,73.87,93,100,1.63,HN,1631358681
Zoumi,34.8032,-5.3446,88.21,29,1,4.81,MA,1631358682
Raychikhinsk,49.7838,129.4121,51.33,80,80,7.38,RU,1631358682
Tarim,16.0569,48.9989,106.9,8,87,14.83,YE,1631358683
Coristanco,43.2,-8.75,72.09,56,100,0.65,ES,1631358684
Gujō,35.7369,136.9585,69.8,94,99,4.74,JP,1631358684
Shalya,57.2471,58.7298,47.93,59,93,14.0,RU,1631358685
Glendale,33.5387,-112.186,88.61,48,20,4.0,US,1631358508
Zacualpa,15.0833,-90.8333,58.37,97,95,2.13,GT,1631358686
Adelaide,-34.9333,138.6,59.22,73,75,5.01,AU,1631358688
Gladenbach,50.7667,8.5667,69.71,79,87,8.21,DE,1631358688
Kislovodsk,43.9133,42.7208,67.64,74,87,11.81,RU,1631358689
Charallave,10.2425,-66.8572,76.96,93,42,1.9,VE,1631358690
Mafikeng,-25.8652,25.6442,76.39,17,0,10.4,ZA,1631358691
Budaörs,47.4618,18.9585,83.43,34,11,2.57,HU,1631358691
Obernkirchen,52.2721,9.1291,69.57,76,89,11.5,DE,1631358692
Chalcis,38.4636,23.5994,86.63,46,2,1.23,GR,1631358693
"Guinayangan, Fourth District of Quezon",13.9006,122.4519,79.57,88,100,6.67,PH,1631358693
Conakry,9.538,-13.6773,79.36,79,97,9.69,GN,1631358694
Eldersburg,39.4037,-76.9503,58.66,85,0,1.01,US,1631358695
Santiago Amoltepec,16.6397,-97.4969,56.12,94,100,5.59,MX,1631358696
Langelsheim,51.9333,10.3333,71.33,78,56,10.71,DE,1631358696
Pershore,52.1116,-2.0759,70.93,68,100,5.01,GB,1631358697
Semara,27.0026,85.0357,88.54,65,100,6.55,NP,1631358698
Himmelpforten,53.6141,9.3052,70.27,73,44,12.93,DE,1631358699
San Sebastiano al Vesuvio,40.8445,14.3676,84.38,40,20,8.05,IT,1631358699
Santa Maria,-29.6842,-53.8069,54.7,81,3,1.52,BR,1631358700
Bansang,13.4333,-14.65,83.35,69,74,8.01,GM,1631358701
St Helens,53.45,-2.7333,69.04,76,20,3.0,GB,1631358702
Izumo,35.3667,132.7667,72.77,88,98,2.33,JP,1631358703
La Santisima Trinidad,-14.8333,-64.9,69.33,55,58,1.9,BO,1631358518
Gorom-Gorom,14.4439,-0.2361,91.71,43,93,2.73,BF,1631358704
